	id	username	name	user_followers_count	user_listed_count
0	1523089884415627265	BBIC0N	Bruce B	1651	0
1	1523085974980464641	afet_baykam	Afet Baykam	1	0
2	1523082138286886912	Barnzooor	Chris Barnes	2556	17
3	1523076808437997571	HausPastiche	Pastiche Haus	34	0
4	1523073093115252736	tselofahad	tselofahad⚡	171	7
5	1523072723047841792	TomLawless99	Tom Lawless	86	0
6	1523066295054266368	wendylwilson2	WendylDail	1197	2
7	1523065573344567297	TaraHart2022	Tara	76	0
8	1523065223992995840	babyloo1960	Baby loo	318	1
9	1523064863991517185	NEVERBOW	Pat K	823	9
10	1523064737340092416	MmeCallas	Maria Callas	4101	36
11	1523064560118157314	NoTVTeresa1	NoTVTeresa	143	0
12	1523063307573235712	JjRayehey	RJ Isham	24	0
13	1523062843787997184	Krebirth1	Kevin	288	6
14	1523060161555812352	loyyyc	the rich aunty	34	0
15	1523059779887038466	LPculture	Futuryst	209	6
16	1523057934086946816	realcornpopz	cornpop	4	0
17	1523057363489804288	Kingahgadgets	Kingahcommunications	201	0
18	1523056622163181570	daehbarg	Daehbarg	102	2
19	1523056454361513986	ohu70742320	crpyto guy	27	0
20	1523054198392164352	stargazeruk7	Natalie.k7	1120	1
21	1523053891100626944	hopeseekr	Theodore R. Smith	2303	49
22	1523053836348248064	salhialy	Salhi Aly	92	8
23	1523053668483796992	VMoral210	TheKidOne760	51	8
24	1523053481309147137	braddleynzama	𝔹𝕣𝕒𝕕𝕝𝕖𝕪_𝕋𝕙𝕖 𝔸𝕗𝕣𝕚𝕔𝕒𝕟	242	0
25	1523053110280790017	MargaretScotla5	MargaretScotland	439	4
27	1523052690561024000	eos1894	şimdilik sınırsız fakir sonrası #eos ile	294	12
28	1523051175226273792	edargham_dev	Elias Dargham	1	0
29	1523051027372535809	canucktv1	canucktv	1632	4
30	1523050320766865408	StarboardMaiden	Starboard Maiden	752	7
31	1523049688441655297	EEvhameh	Eucheria Evhameh	131	0
32	1523048948646121472	SaichandAdari	Saichand Adari	5	0
33	1523047699368476673	Maplenut_EOS	Maplenut	441	17
34	1523046378825416704	BotTesting8	YourAverageRobot	63	0
35	1523046239587430400	ChristoCoffman	Chris Coffman	62	0
36	1523045007384473601	Twiddertod	toddy	24	12
37	1523044097459732483	Belabab3	Maria. 🇵🇸 No Confidence In Keir Starmer	614	0
38	1523044033223819267	fradarl29	fran #DemForce	3829	24
39	1523043952886226944	CharlesLBovaird	Charles L Bovaird II	4613	133
40	1523043508088901632	FreylisB	FREYLIS	227	0
41	1523043356988694529	laoluxbass	Samuel Laolu	191	9
42	1523042921481932800	DuchessOfOia	Aphrodite	19	0
43	1523042742934331392	fraser_fisher	Fraser Fisher 🏴󠁧󠁢󠁳󠁣󠁴󠁿🐟	224	0
44	1523041822548783104	auntie_	Deborah Kelch	309	7
45	1523039334076944384	MonicaBALLUCB	Monica Guerrera	270	54
46	1523038316421132288	Dollface2684	CREAM P	95	0
47	1523038128662978561	JACKSPLATATTACK	JACKSPLAT!	28	0
48	1523038026506592256	_CUTEHAMSTER_	CUTEHAMSTERS	4	0
49	1523035448783687681	pameladubsky49	Pamela Dubsky #BoycottNRA	22829	356
50	1523035420635762688	SharonCarbine	Sharon Carbine	9717	274
51	1523034991659261952	jkesister	jackie mcgregor	307	3
53	1523033284942327814	EkJeetu	ek hi jeetu	17	0
54	1523030470031978497	CateMS111	Cate Sedgwick	1537	49
56	1523029576749830145	PatriciaStebb11	Patricia Stebbins	2033	0
57	1523028214347894784	cryptoNFTs2	cryptoNFTs	32489	32
58	1523027992120729600	Aleksan06840346	Aleksander	32	0
59	1523027950161264640	Bittechnologie1	Bit technologies	95	0
60	1523026608147238912	Twit2Mars	Twit2Mars | MINT SOON !	5142	0
61	1523024198335361024	lindymomma	LindyMomma🏳️‍🌈	1475	10
